date,ndvi
2024-01-01,0.4291621076297265
2024-01-17,0.5176197978490409
2024-02-02,0.47835039958047665
2024-02-18,0.720950934008814
2024-03-05,0.5877362195788864
2024-03-21,0.6553679921874229
2024-04-06,0.7225994313281353
2024-04-22,0.6151435945082679
2024-05-08,0.5860397826454476
2024-05-24,0.539709823617557
2024-06-09,0.5480058414376786
2024-06-25,0.564610400640748
2024-07-11,0.3816438304395628
2024-07-27,0.2589435233804248
2024-08-12,0.28801552244047485
2024-08-28,0.1927840161710471
2024-09-13,0.2015881147037093
2024-09-29,0.2612947005047814
2024-10-15,0.18519845369667728
2024-10-31,0.2615138689601017
2024-11-16,0.27093440097408356
2024-12-02,0.3717451522704114
2024-12-18,0.46282852260006474
