date,ndvi
2024-01-01,0.5312172681831621
2024-01-17,0.4898453185278536
2024-02-02,0.5587516167507266
2024-02-18,0.5852889624807561
2024-03-05,0.7206783803048635
2024-03-21,0.582378425626219
2024-04-06,0.7846959486810572
2024-04-22,0.6393476537938745
2024-05-08,0.6548893483914195
2024-05-24,0.572691685590029
2024-06-09,0.5935385360626061
2024-06-25,0.34699296452511735
2024-07-11,0.36344600058896726
2024-07-27,0.29563707790267985
2024-08-12,0.3177510785282073
2024-08-28,0.1675974377956689
2024-09-13,0.19392322915224508
2024-09-29,0.15865171863369826
2024-10-15,0.22470268849715005
2024-10-31,0.2902033670972266
2024-11-16,0.2598088367754546
2024-12-02,0.4368030462816233
2024-12-18,0.4950795360296397
