date,ndvi
2024-01-01,0.5382026172983833
2024-01-17,0.5404409996287185
2024-02-02,0.6340971035691864
2024-02-18,0.7509820535486376
2024-03-05,0.770785898346128
2024-03-21,0.6485914664764126
2024-04-06,0.7449597813465126
2024-04-22,0.6698401384237447
2024-05-08,0.6337764509988867
2024-05-24,0.6056901294608181
2024-06-09,0.5276353177684013
2024-06-25,0.5227136753481488
2024-07-11,0.4176187470469923
2024-07-27,0.32092354646074206
2024-08-12,0.2832557680487067
2024-08-28,0.2392757175300838
2024-09-13,0.27724859318764716
2024-09-29,0.1922867263414768
2024-10-15,0.23824538624391547
2024-10-31,0.21835781944634924
2024-11-16,0.18719030484439672
2024-12-02,0.4122477905616606
2024-12-18,0.49322180994297526
