date,ndvi,lat,lon
2023-01-01,0.469,23.2599,77.4126
2023-01-17,0.545,23.2599,77.4126
2023-02-02,0.816,23.2599,77.4126
2023-02-18,0.856,23.2599,77.4126
2023-03-06,0.757,23.2599,77.4126
2023-03-22,0.654,23.2599,77.4126
2023-04-07,0.377,23.2599,77.4126
2023-04-23,0.286,23.2599,77.4126
2023-05-09,0.236,23.2599,77.4126
2023-05-25,0.136,23.2599,77.4126
2023-06-10,0.176,23.2599,77.4126
2023-06-26,0.329,23.2599,77.4126
2023-07-12,0.494,23.2599,77.4126
2023-07-28,0.673,23.2599,77.4126
2023-08-13,0.799,23.2599,77.4126
2023-08-29,0.779,23.2599,77.4126
2023-09-14,0.747,23.2599,77.4126
2023-09-30,0.601,23.2599,77.4126
2023-10-16,0.416,23.2599,77.4126
2023-11-01,0.269,23.2599,77.4126
2023-11-17,0.164,23.2599,77.4126
2023-12-03,0.055,23.2599,77.4126
2023-12-19,0.156,23.2599,77.4126
2024-01-04,0.331,23.2599,77.4126
2024-01-20,0.434,23.2599,77.4126
2024-02-05,0.618,23.2599,77.4126
2024-02-21,0.843,23.2599,77.4126
2024-03-08,0.913,23.2599,77.4126
2024-03-24,0.692,23.2599,77.4126
2024-04-09,0.584,23.2599,77.4126
2024-04-25,0.434,23.2599,77.4126
2024-05-11,0.309,23.2599,77.4126
2024-05-27,0.2,23.2599,77.4126
2024-06-12,0.176,23.2599,77.4126
2024-06-28,0.155,23.2599,77.4126
2024-07-14,0.359,23.2599,77.4126
2024-07-30,0.433,23.2599,77.4126
2024-08-15,0.612,23.2599,77.4126
2024-08-31,0.762,23.2599,77.4126
2024-09-16,0.76,23.2599,77.4126
2024-10-02,0.636,23.2599,77.4126
2024-10-18,0.611,23.2599,77.4126
2024-11-03,0.481,23.2599,77.4126
2024-11-19,0.194,23.2599,77.4126
2024-12-05,0.123,23.2599,77.4126
2024-12-21,0.045,23.2599,77.4126
