date,ndvi
2024-01-01,0.452528085357147
2024-01-17,0.5454307058722488
2024-02-02,0.5353647578085561
2024-02-18,0.6736173190031302
2024-03-05,0.6564929228372841
2024-03-21,0.618226498714627
2024-04-06,0.6650700221141407
2024-04-22,0.7073367575369984
2024-05-08,0.6555498952190628
2024-05-24,0.5277863727166255
2024-06-09,0.5513666236617014
2024-06-25,0.4456006535829863
2024-07-11,0.4008204806139937
2024-07-27,0.3314524529047174
2024-08-12,0.20322179336547827
2024-08-28,0.24014185881549704
2024-09-13,0.17220027537489677
2024-09-29,0.27989360598055324
2024-10-15,0.2587590815987633
2024-10-31,0.2633693847729437
2024-11-16,0.26569021296517403
2024-12-02,0.38228849773290047
2024-12-18,0.45799464675363133
